USER_TOKEN,FIRST_SEND_APPLICATION,BUSINESS_CATEGORY,POSTAL_CODE,COUNTRY_CODE,FIRST_INVOICE_MONTH,COUNT_INVOICES_FIRST7D,COUNT_SENT_INVOICES_FIRST7D,COUNT_PAID_INVOICES_FIRST7D,TOTAL_INVOICE_AMOUNT_CENTS_FIRST7D,COUNT_PAYERS_FIRST7D,HAS_USED_AUTOMATIC_REMINDERS_FIRST7D,AVERAGE_INVOICE_AMOUNT_CENTS_FIRST7D,PCT_INVOICES_PAID_FIRST7D,COUNT_DELIVERY_METHODS_FIRST7D,HAS_ACCEPTED_CREDIT_OR_DEBIT_CARD_FIRST7D,CHURNED_IND
52FVVHJ0QXARC,register,health_care_and_fitness,13652-3160,US,2017-04-01,2,2,1,49540,1,0,24770,0.5,1,1,1
B6K269ZSWHXAJ,register,professional_services,30052,US,2019-08-01,2,1,0,60000,1,1,30000,0,1,1,1
DBZXV8TZEAVD8,register,health_care_and_fitness,77507-1089,US,2017-12-01,8,7,6,340472,5,0,42559,0.857142,1,1,0
KFQEKBDH1METJ,dashboard,professional_services,150-0034,JP,2017-09-01,2,2,0,47880,1,0,23940,0,1,1,1
6P0VPWGASS41P,dashboard,professional_services,92610,US,2018-06-01,3,3,0,4940945,3,0,1646981.667,0,1,1,1
1TJE16VBFEPX5,register,casual_use,84119,US,2017-10-01,3,3,2,20700,2,0,6900,0.666666,1,1,1
17AF4FGHEQYA2,register,professional_services,8610,US,2015-08-01,1,1,1,2874564,0,0,2874564,1,1,1,0
74HXBFFB6ZA7X,dashboard,health_care_and_fitness,27615,US,2019-08-01,3,3,3,208000,3,1,69333.33333,1,1,1,0
GJQKCYAWAA6BJ,register,home_and_repair,75057-2605,US,2018-10-01,1,1,1,180000,1,0,180000,1,1,1,1
9EY0B03CPTSQV,dashboard,casual_use,87123,US,2018-07-01,1,1,1,72000,1,0,72000,1,1,1,1
GK8N2D4NFSRJ9,register,health_care_and_fitness,85730-3137,US,2018-04-01,3,3,0,102500,3,0,34166.66667,0,1,1,1
FJJNCS3PTD9DX,register,beauty_and_personal_care,98201,US,2017-02-01,1,1,0,3000,1,0,3000,0,1,1,1
1BDK5J2XWA7ER,register,casual_use,30474,US,2019-02-01,3,2,2,48808760,1,1,16269586.67,1,1,1,0
KSZ0B85Z8KTR1,dashboard,health_care_and_fitness,77362,US,2017-08-01,8,8,6,1534176,7,0,191772,0.75,1,1,1
1816NAPX3GFWR,dashboard,retail,93015,US,2015-04-01,4,4,3,2725000,0,0,681250,0.75,1,1,1
8HMD91B9WW39Z,register,retail,65804-0129,US,2017-08-01,3,3,1,11495000,2,0,3831666.667,0.333333,1,1,0
DYF24C5ECHD7F,dashboard,professional_services,22508-5244,US,2016-09-01,4,4,3,1452570,3,0,363142.5,0.75,1,1,1
QQXZAN48QMJT1,dashboard,professional_services,26847-7514,US,2019-04-01,3,3,1,4466000,2,1,1488666.667,0.333333,1,1,0
C025PQTVHRQNX,register,professional_services,29406,US,2016-01-01,12,12,9,37425024000,11,0,3118752000,0.75,1,1,0
XJXHHG3H4K1ZT,register,retail,49082-1202,US,2018-08-01,3,3,2,10368000,3,0,3456000,0.666666,1,1,0
DGCSG040WGTMS,register,retail,11756,US,2017-05-01,2,2,2,39834480,2,0,19917240,1,1,1,0
QRB3SRMY2VKEM,register,retail,91208,US,2018-06-01,1,1,0,180000,1,0,180000,0,1,1,1
A0JX509PCJ2PH,register,professional_services,79907,US,2018-06-01,7,7,1,787500,7,0,112500,0.142857,1,1,1
3KXMSA9DRZ7ZK,dashboard,professional_services,94611-5521,US,2018-09-01,1,1,1,50000,1,1,50000,1,1,1,1
0YN2KBG4QC4BR,register,professional_services,45238,US,2017-09-01,1,1,1,198164,1,0,198164,1,1,1,1
3208A6FD1W0MF,register,beauty_and_personal_care,35674,US,2015-11-01,1,1,1,126000,0,0,126000,1,1,1,1
2YJNK7W14H152,register,casual_use,89801,US,2015-01-01,2,2,0,182900,0,0,91450,0,1,1,0
BJ919VG04TNMK,dashboard,professional_services,75219,US,2016-04-01,3,3,1,4350000,2,0,1450000,0.333333,1,1,1
EMEJ8Z5NNZDZA,register,retail,72150,US,2015-02-01,2,2,1,45000,0,0,22500,0.5,1,1,0
02H7ZMJJS6EHQ,dashboard,professional_services,95060,US,2015-10-01,2,2,1,24305408,2,0,12152704,0.5,1,1,1
FHCZGKJFVZ6WN,dashboard,retail,82935-6308,US,2015-09-01,3,3,1,584520,3,0,194840,0.333333,1,1,1
T053K8BTDHP70,dashboard,casual_use,77449,US,2019-05-01,1,1,0,460000,1,0,460000,0,1,1,1
H46EBGKAGKYRQ,register,health_care_and_fitness,75704-3208,US,2018-01-01,6,6,6,550128,6,0,91688,1,1,1,0
ZYAP9S2MM3QCR,register,retail,33319-3401,US,2017-12-01,1,0,0,0,0,0,0,0,1,1,1
A3B194JDEKPE3,dashboard,health_care_and_fitness,32210,US,2014-06-01,2,2,1,358400,0,0,179200,0.5,1,1,1
W8VY2SCYH3F4H,dashboard,retail,52241,US,2018-06-01,3,3,2,329344000,3,0,109781333.3,0.666666,1,1,0
53Z9DDXZ8Z8SK,dashboard,professional_services,84020,US,2014-05-01,1,1,1,3899490,0,0,3899490,1,1,1,1
FXSHAK06F94F4,register,beauty_and_personal_care,2085,AU,2018-12-01,1,1,0,100,1,1,100,0,1,1,1
8QWB5JBWD8ZRB,register,health_care_and_fitness,23462,US,2017-03-01,2,2,1,10200,1,0,5100,0.5,1,1,1
ZH9TSAGBMWK5M,register,home_and_repair,25428-3058,US,2017-09-01,2,1,0,220000,2,0,110000,0,1,1,1
C3EW0QCMBNCA3,register,casual_use,76710,US,2018-08-01,1,1,1,3600,1,0,3600,1,1,1,1
7GQ758W5PN9XY,dashboard,leisure_and_entertainment,V6J3R2,CA,2017-06-01,3,3,2,233800,3,0,77933.33333,0.666666,1,1,1
8SDATDNA0F7Z8,dashboard,beauty_and_personal_care,92109-4212,US,2015-11-01,3,3,2,97848,3,0,32616,0.666666,1,1,1
RX4XQ7WFCN8FA,dashboard,retail,92277-9469,US,2017-11-01,4,4,2,12616380,3,0,3154095,0.5,1,1,0
A8ZWYRBMRPVJ7,dashboard,retail,47715-6041,US,2017-10-01,1,1,1,2400,1,0,2400,1,1,1,1
QFESWYCT1K7FV,register,food_and_drink,36608,US,2017-10-01,6,6,5,4680000,5,0,780000,0.833333,1,1,1
EC52X87A8KXK0,register,food_and_drink,10035,US,2015-09-01,2,2,1,1297800,0,0,648900,0.5,1,1,1
3X73T6DGN1QVF,register,professional_services,78757,US,2018-07-01,1,0,0,0,0,0,0,0,1,1,0
8C0C14NYYEER0,register,charities_education_and_membership,30263,US,2015-09-01,5,5,0,144000,1,0,28800,0,1,1,1
0VF54HJ0X064V,register,professional_services,7087,US,2016-11-01,2,2,1,74686,0,0,37343,0.5,1,1,1
D3X6XWSM08V4R,dashboard,home_and_repair,K9K 2P9,CA,2015-04-01,2,2,2,74757760,0,0,37378880,1,1,1,1
3P9E9TJ1F3W7G,register,health_care_and_fitness,31558-3848,US,2017-03-01,8,8,6,8324230,7,0,1040528.75,0.75,1,1,0
FR682N70A5DEK,register,health_care_and_fitness,60560-1833,US,2018-05-01,2,2,2,14998,2,1,7499,1,1,1,1
CQV7S2RDYNFBC,register,casual_use,44709,US,2014-12-01,4,4,3,255300,0,0,63825,0.75,1,1,0
FYQVFQZYK65NE,dashboard,retail,55442,US,2018-12-01,3,2,0,3350000,1,0,1116666.667,0,1,1,1
0BDJR023Y8HFY,register,beauty_and_personal_care,70806,US,2016-03-01,1,1,0,101500,0,0,101500,0,1,1,1
37VSMJG5KM7F4,register,retail,54448-9172,US,2017-05-01,1,1,1,4009,1,0,4009,1,1,1,1
CE5JMQGH20C1A,dashboard,professional_services,32224-1626,US,2019-03-01,1,1,1,7000,1,0,7000,1,1,1,0
SQZZ1VCHRHJKM,dashboard,leisure_and_entertainment,60615-2725,US,2018-02-01,5,5,1,2563350,4,0,512670,0.2,1,1,1
W2470CPWBNNBM,register,casual_use,48146,US,2019-01-01,1,1,0,124000,1,0,124000,0,1,1,1
DF6GKQ3QXYDW8,register,home_and_repair,48658-9670,US,2018-05-01,4,4,3,246000,3,0,61500,0.75,1,1,1
76R78ASMASZ7R,register,charities_education_and_membership,28574-7419,US,2016-10-01,4,4,2,58800,0,0,14700,0.5,1,1,1
3A2M66B6561ER,register,casual_use,89406,US,2017-02-01,1,1,1,500,1,0,500,1,1,1,1
0V52CS5W5Z9MN,register,retail,76638,US,2017-02-01,1,1,1,27500,1,0,27500,1,1,1,1
XE8FC4V05M4JE,register,retail,36532,US,2019-01-01,4,4,3,11200,4,0,2800,0.75,1,1,1
409F5GZRJD8T6,dashboard,charities_education_and_membership,90275-5117,US,2017-05-01,1,1,1,75000,1,0,75000,1,1,1,1
F28M5XQJE5CJV,register,retail,34787-0062,US,2016-07-01,4,4,3,13582800,0,0,3395700,0.75,1,1,0
3FCC150BQD6F4,register,leisure_and_entertainment,59457-1531,US,2016-10-01,1,1,1,3500,0,0,3500,1,1,1,1
553QPGP56GD6K,dashboard,professional_services,70127-1649,US,2019-03-01,2,2,1,135000,2,1,67500,0.5,1,1,1
CFGF8G2F9SM6N,dashboard,professional_services,24401,US,2016-02-01,1,1,1,60000,1,0,60000,1,1,1,1
CD9ZCB4CZP0SV,dashboard,leisure_and_entertainment,40515,US,2015-11-01,1,1,1,100000,1,0,100000,1,1,1,1
3ZAVC9QGMP9CG,dashboard,professional_services,21133-4161,US,2018-06-01,3,2,2,86835,2,0,28945,1,1,1,1
HP2DTT86YTFAF,dashboard,leisure_and_entertainment,20005,US,2019-03-01,1,1,0,50000,1,1,50000,0,1,1,1
BMCE50W0SPHYX,register,retail,23831,US,2016-12-01,1,1,0,15400,1,0,15400,0,1,1,1
3VA7JC2DKHG9N,register,food_and_drink,89128-4303,US,2018-08-01,2,2,2,1960000,1,0,980000,1,1,1,0
48S20ZNHRYKPV,register,health_care_and_fitness,75230,US,2019-05-01,4,2,0,172764,2,1,43191,0,1,1,1
Z9P9WEFBZ2RAK,dashboard,food_and_drink,19968,US,2018-12-01,2,1,0,449100,1,0,224550,0,1,1,1
FPHV0V4QANY72,dashboard,retail,40422,US,2017-09-01,1,1,0,211660800,1,0,211660800,0,1,1,0
01NSZCAHYXN97,register,health_care_and_fitness,97225,US,2014-06-01,1,1,1,320000,0,0,320000,1,1,1,1
FDDVMB94X5BYM,dashboard,charities_education_and_membership,4551,AU,2016-05-01,3,3,0,64000,3,0,21333.33333,0,1,1,1
7VF9267Q3063T,register,beauty_and_personal_care,75966-6338,US,2016-01-01,4,4,3,342960,0,0,85740,0.75,1,1,1
7RY56HRA4T1R9,register,health_care_and_fitness,78256-4422,US,2017-09-01,6,5,4,164808,5,0,27468,0.8,1,1,1
BD1JD42ZRXMGM,dashboard,transportation,77063,US,2017-03-01,1,1,0,5000,1,0,5000,0,1,1,1
SVQPRA3RV8W9M,register,retail,92553-3141,US,2019-04-01,2,2,1,167400,1,1,83700,0.5,1,1,0
R73KBRQ3BFFMF,dashboard,health_care_and_fitness,43460-1348,US,2018-01-01,4,4,3,9805050,4,0,2451262.5,0.75,1,1,0
ZECEFRGB24K43,register,retail,32301,US,2017-11-01,4,4,3,680000,2,0,170000,0.75,1,1,1
6YGNBQXS397VR,dashboard,health_care_and_fitness,97405-2133,US,2018-02-01,2,2,1,830000,2,0,415000,0.5,1,1,1
CRXG73XAS7VYV,register,professional_services,32065,US,2017-02-01,1,1,0,26265000,1,0,26265000,0,1,1,1
F01TYM1GZ22WY,register,health_care_and_fitness,60647,US,2019-06-01,5,5,4,1608000,5,1,321600,0.8,1,1,1
5KN15E05RA9HT,register,home_and_repair,28144-6320,US,2016-11-01,1,1,1,877500,0,0,877500,1,1,1,1
DS854BG5HVBSK,dashboard,retail,32738,US,2018-07-01,1,1,1,750000,1,0,750000,1,1,1,1
CEXGN3GQMEXX1,register,charities_education_and_membership,64040-1619,US,2016-11-01,1,1,0,16200,0,0,16200,0,1,1,1
5QNSRT6YRC72K,register,professional_services,44444-9464,US,2017-12-01,1,1,1,2400,1,0,2400,1,1,1,0
FXPBJ2K2034T4,register,leisure_and_entertainment,78589,US,2017-06-01,6,6,2,3536000,3,0,589333.3333,0.333333,1,1,1
FT8BM2QNZ8MAS,register,retail,48708-7783,US,2017-12-01,1,1,1,1700,1,0,1700,1,1,1,1
73QBHVG7QKWN7,register,retail,739-2303,JP,2017-05-01,1,1,0,119448,1,0,119448,0,1,1,1
32ZH9VVZ95MXN,register,retail,25702,US,2016-04-01,1,1,0,100,0,0,100,0,1,1,1
0873A80000KVB,register,retail,44287-9363,US,2017-06-01,1,1,1,1290780,1,0,1290780,1,1,1,1
99TMXDASA7XDE,register,professional_services,74006,US,2019-03-01,1,1,1,50000,1,0,50000,1,1,1,1
BT00R0THJ15JK,dashboard,charities_education_and_membership,05676-9094,US,2016-10-01,1,1,1,21500,1,0,21500,1,1,1,1
5YCCS0CC7PNG9,dashboard,food_and_drink,64870,US,2019-08-01,1,1,1,234900,1,1,234900,1,1,1,0
92BGBVDJVSRZB,dashboard,beauty_and_personal_care,37857,US,2016-03-01,1,1,0,100,1,0,100,0,1,1,1
95MPJJYP0PVH6,register,professional_services,90048,US,2017-06-01,1,1,1,1112000,1,0,1112000,1,1,1,1
P47MYT15RRV8T,register,casual_use,77084,US,2019-02-01,2,1,1,540000,1,1,270000,1,1,1,1
4SSYWR0CS50NS,dashboard,professional_services,48362-2967,US,2018-11-01,1,1,1,27500,1,0,27500,1,1,1,1
A6Q8A4VZBEJEG,dashboard,home_and_repair,28215-9359,US,2017-01-01,1,1,0,128567340,1,0,128567340,0,1,1,0
F1470CRRNP9GJ,dashboard,professional_services,32940-2368,US,2018-07-01,3,3,1,215000,1,1,71666.66667,0.333333,1,1,1
KCGWB8W2P3M2D,dashboard,professional_services,70130-2017,US,2018-04-01,1,1,1,160000,1,0,160000,1,1,1,1
1AQTXK80022XY,register,casual_use,3894,US,2017-05-01,1,1,0,56135,1,0,56135,0,1,1,1
61QQK6AG5SFJA,register,casual_use,77055-2228,US,2019-06-01,2,1,1,1700000,1,1,850000,1,1,1,0
CHPGYZS9P0P6Y,dashboard,charities_education_and_membership,81131,US,2015-11-01,2,2,0,11448000,1,0,5724000,0,1,1,1
E5N7KC1NAY1YP,register,casual_use,77356,US,2018-08-01,1,1,1,4500,1,0,4500,1,1,1,1
E30YH435QW3JQ,register,food_and_drink,33027,US,2016-12-01,1,1,1,53500,1,0,53500,1,1,1,1
82S1PH1RZ3Z31,register,retail,63034-3392,US,2018-12-01,1,1,0,4000,1,0,4000,0,1,1,1
NCSRAMW215G3Z,register,health_care_and_fitness,73533,US,2017-11-01,2,2,2,16522,2,0,8261,1,1,1,1
7JHPZEP1A1S5Y,dashboard,charities_education_and_membership,92119,US,2016-12-01,2,2,0,8000,2,0,4000,0,1,1,1
8QCP7Y500KZRA,register,retail,H8Y3B2,CA,2018-03-01,1,0,0,700,0,0,700,0,1,1,1
CVT6FR9BDKGS1,register,leisure_and_entertainment,77069-3501,US,2015-07-01,3,3,2,1485000,0,0,495000,0.666666,1,1,0
FH27B5FTD43JD,dashboard,retail,75901,US,2018-11-01,1,1,1,4400,1,0,4400,1,1,1,1
BJ566T38SAYYB,register,retail,071-0207,JP,2016-02-01,1,1,1,8166,0,0,8166,1,1,1,1
BXRNEDH8NF2VE,dashboard,retail,77837-8281,US,2018-01-01,1,1,1,20000,1,0,20000,1,1,1,1
FXYRN8RY631G1,dashboard,professional_services,30501-1459,US,2019-07-01,1,1,0,11459,1,1,11459,0,1,1,1
ECW88M980MQNW,dashboard,home_and_repair,93062,US,2017-06-01,7,7,6,388080000,5,0,55440000,0.857142,1,1,0
2KK91TCJKYRFQ,register,home_and_repair,39503,US,2017-09-01,1,1,1,45000,1,0,45000,1,1,1,1
7K2R023KEKP0D,register,health_care_and_fitness,92585-9743,US,2019-03-01,3,3,2,286572,2,1,95524,0.666666,1,1,0
3V1NHDMPHT65A,dashboard,food_and_drink,43062-8217,US,2017-05-01,2,2,2,770000,1,0,385000,1,1,1,1
QMMGMYBC7C8B0,register,professional_services,93291,US,2018-02-01,1,1,0,130000,1,0,130000,0,1,1,0
DY58H2CBTSB1K,dashboard,charities_education_and_membership,W140DP,GB,2019-08-01,1,1,1,24500,1,1,24500,1,1,1,1
9TACEYKY1EBYK,register,food_and_drink,96791,US,2019-08-01,1,1,1,175000,1,1,175000,1,1,1,1
EG36K2C3V278S,register,health_care_and_fitness,58104-4230,US,2017-04-01,4,4,4,251232,4,0,62808,1,1,1,1
6NWW8VPQE18E0,register,leisure_and_entertainment,47023,US,2018-04-01,1,1,1,3050,1,0,3050,1,1,1,1
ABEKCTA7D19SY,dashboard,casual_use,J7R5W7,CA,2016-03-01,1,1,1,2922644,1,0,2922644,1,1,1,1
0X00YM3PYRZ47,dashboard,food_and_drink,45332,US,2017-02-01,2,1,0,276000,2,0,138000,0,1,1,0
3V6R85AR9RE49,dashboard,casual_use,78640,US,2015-12-01,1,1,1,162360,1,0,162360,1,1,1,0
307MZK1PW4P7V,dashboard,leisure_and_entertainment,29464-7908,US,2018-06-01,1,1,1,695250,1,0,695250,1,1,1,1
8WYFKTCT2FYRG,register,retail,94544,US,2016-02-01,2,2,0,211200,0,0,105600,0,1,1,1
ZTREF6E5S3VD4,register,health_care_and_fitness,75056-2323,US,2019-05-01,2,2,2,1116000,2,1,558000,1,1,1,1
7ENVYY224HHFR,register,beauty_and_personal_care,30043,US,2017-07-01,1,1,1,176000,1,0,176000,1,1,1,1
SQSMXD5FGP7NG,register,retail,V6V1J4,CA,2018-08-01,1,1,1,94416,1,0,94416,1,1,1,1
VH1CCN815VYSC,dashboard,retail,76542-6146,US,2018-08-01,3,3,1,123903,3,1,41301,0.333333,1,1,1
SC50GN1HCKM0H,dashboard,retail,95820-2038,US,2019-02-01,2,2,1,411400,2,1,205700,0.5,2,1,1
8YV2WVB1T905Q,register,health_care_and_fitness,89129,US,2017-03-01,2,1,0,333088,1,0,166544,0,1,1,1
EG5K2EB09M0V4,register,retail,67730-1734,US,2017-05-01,1,1,0,100,1,0,100,0,1,1,1
VZWT88NT8ZEF9,dashboard,retail,L1N 7X4,CA,2017-11-01,2,2,2,3750000,2,0,1875000,1,1,1,0
6BJHJ1RGVP43G,dashboard,retail,20715,US,2017-12-01,1,1,1,752070,1,0,752070,1,1,1,0
ZK26MYTBCZSAZ,dashboard,health_care_and_fitness,75068,US,2018-10-01,2,2,0,129600,1,0,64800,0,1,1,0
AM5XWQA56EE6N,register,retail,57078-5204,US,2017-01-01,3,3,3,44952,3,0,14984,1,1,1,1
BY4SVH58WTNDY,dashboard,health_care_and_fitness,95628,US,2014-06-01,1,1,1,1706276,0,0,1706276,1,1,1,1
EQ9BC54DMRAVP,dashboard,retail,13343-2602,US,2016-02-01,2,2,2,208780780,2,0,104390390,1,1,1,0
BYYFV16RWPS10,dashboard,beauty_and_personal_care,63119,US,2017-01-01,2,2,2,5033133,2,0,2516566.5,1,1,1,0
SFT06V7ZDY7Y1,dashboard,retail,50138-1003,US,2018-04-01,2,2,0,2868950,2,0,1434475,0,1,1,1
BY6CWKPMKER1V,dashboard,transportation,23832-3742,US,2018-11-01,1,1,1,960000,1,0,960000,1,1,1,0
EFVSTR5Y4W9W1,register,beauty_and_personal_care,11235,US,2017-10-01,1,1,1,200000,1,0,200000,1,1,1,1
7D3WSBF937YRV,register,home_and_repair,91711-1404,US,2016-10-01,1,1,0,100,0,0,100,0,1,1,1
A144M1SBTD2AN,dashboard,retail,55362,US,2018-04-01,2,2,1,256500,2,0,128250,0.5,1,1,1
7B16FN3RCXWFH,dashboard,casual_use,L5E 3G2,CA,2016-07-01,1,1,0,5000,1,0,5000,0,1,1,1
FH1RFDKZTZH1P,register,home_and_repair,23320-3561,US,2017-05-01,1,0,0,0,1,0,0,0,1,1,0
JD32TE1YCC3VP,register,health_care_and_fitness,55433,US,2018-07-01,1,1,0,11200,1,0,11200,0,1,1,1
CMGMJV6BPR6SX,register,professional_services,32835,US,2018-10-01,3,3,1,777000,2,0,259000,0.333333,1,1,1
5X7KHEA8C3C76,dashboard,professional_services,15203-2325,US,2019-06-01,1,1,0,20000,1,1,20000,0,1,1,1
EFYYKKV1BVA3C,dashboard,professional_services,75246,US,2015-12-01,1,1,1,1569000,1,0,1569000,1,1,1,1
21C4HQGM3BY4X,dashboard,retail,35126-4489,US,2019-07-01,1,1,1,100,1,1,100,1,1,1,1
4DHWRQ5PGBQPQ,dashboard,casual_use,70065,US,2018-08-01,1,1,1,114140,1,0,114140,1,1,1,1
35C69BGYJ7CWY,dashboard,professional_services,10001,US,2014-11-01,4,4,4,190064532,0,0,47516133,1,1,1,1
PS5RTF3JTTA1J,register,beauty_and_personal_care,L9C4K9,CA,2018-07-01,1,1,0,6000,1,0,6000,0,1,1,1
1BJZ4902Z4RR8,dashboard,food_and_drink,21113,US,2016-12-01,1,1,1,921300,1,0,921300,1,1,1,0
EVT75N6Y2NHAK,dashboard,leisure_and_entertainment,84095,US,2015-05-01,1,1,1,1947500,1,0,1947500,1,1,1,0
6Y156RBQM694C,register,retail,61883-9779,US,2017-03-01,3,3,2,70196,3,0,23398.66667,0.666666,1,1,1
D33Y6CV44TJS1,register,casual_use,70816,US,2018-08-01,1,1,0,10000,1,0,10000,0,1,1,1
BR62MB3EYMJDT,register,transportation,29316-4818,US,2017-09-01,1,1,0,4500,1,0,4500,0,1,1,1
0SPFDTWV7TMTM,register,charities_education_and_membership,85086,US,2018-01-01,3,3,0,3570000,1,0,1190000,0,1,1,1
9YPEJT53K23SA,register,food_and_drink,75234-5879,US,2017-12-01,2,2,0,54250,1,0,27125,0,2,1,1
44RFSD6HYZNJF,dashboard,retail,50613,US,2017-05-01,2,2,1,131610,2,0,65805,0.5,1,1,1
FDT11RYGRD6J8,register,home_and_repair,97070,US,2018-01-01,1,1,1,21000,1,0,21000,1,1,1,1
ERQ42YSJ7H8JH,dashboard,professional_services,20906,US,2016-08-01,1,1,1,225000,1,0,225000,1,1,1,1
2Y712H7QN1W7J,dashboard,home_and_repair,45011,US,2018-07-01,1,1,1,436837500,1,1,436837500,1,1,1,0
9D346E0W8P6PP,dashboard,beauty_and_personal_care,93955-8327,US,2019-07-01,1,1,1,252586,1,1,252586,1,1,1,1
1ZMWT6TS9Z2Q3,register,casual_use,20745,US,2017-02-01,1,1,1,520000,1,0,520000,1,1,1,1
3G767P0ZPPPZV,dashboard,casual_use,72113,US,2019-08-01,2,2,0,6000000,1,0,3000000,0,1,1,1
T6RG5SQ50VZFK,register,health_care_and_fitness,3939,AU,2017-08-01,2,2,1,26200,1,0,13100,0.5,1,1,1
